Date,Comments
"Sunday, April 9, 2023 at 3:29 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', 'https://wp.me/paMT26-ax', '250 Mbps-Rs. 8200/year मा चलाइ रहेको छु । यस्तो सस्तो विज्ञापन ।', 'U TTam Pandit please check your inbox', 'Sindhupalchok ma yo facility xa ta', 'Nabin Pandey please check your inbox', 'What is the yearly total cost TV+ Net including VAT?', 'Parash Bhatta please check your inbox', '100 mbps le tv ra mobile lai pugxa ki nai', 'Krish Balami please check your inbox', '250 mbps new .installation charge', 'Harry Stha please check your inbox', '250 Mbps-Rs. 8200/year मा चलाइ रहेको छु । यस्तो सस्तो विज्ञापन ।', 'U TTam Pandit please check your inbox', 'new .installation charge', 'Ishwor Drem Bhatta please check your inbox']"
"Friday, March 31, 2023 at 12:44 PM",Nan
"Saturday, March 25, 2023 at 9:00 AM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '250 Mbps-Rs. 8200/year मा चलाइ रहेको छु । यस्तो सस्तो विज्ञापन ।', 'U TTam Pandit please check your inbox', 'Sindhupalchok ma yo facility xa ta', 'Nabin Pandey please check your inbox', 'What is the yearly total cost TV+ Net including VAT?', 'Parash Bhatta please check your inbox', '50 Mbps ma IPTV xin ra', 'Krishnamohan Chaudhary please check your inbox', '', '', 'Pp including TV', 'Prachanda Thapa please check your inbox', 'What is the yearly total cost TV+ Net including VAT?', 'Bibek Dangi please check your inbox', '100 Mbps ?', 'Krishna Thakur please check your inbox', 'I want to subscribe 100 mbps!', 'Avi Timalsina please check your inbox', 'With vat or without vat', 'Aarahabman DS Joshi please check your inbox', 'Package matra ho ki router, cable , fitting charge jodera hooo', 'Aarahabman DS Joshi please check your inbox', 'What is the yearly total cost TV+ Net including VAT?', 'Parash Bhatta please check your inbox', 'Does price applies for old customer?', 'Anjal Shrestha please check your inbox', 'Ineed', 'Nikeet SapCota please check your inbox']"
"Tuesday, March 21, 2023 at 6:57 AM",Nan
"Sunday, March 19, 2023 at 12:47 PM",Nan
"Thursday, March 16, 2023 at 9:20 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '250 Mbps-Rs. 8200/year मा चलाइ रहेको छु । यस्तो सस्तो विज्ञापन ।', 'U TTam Pandit please check your inbox', 'Sindhupalchok ma yo facility xa ta', 'Nabin Pandey please check your inbox', 'What is the yearly total cost TV+ Net including VAT?', 'Parash Bhatta please check your inbox', '50 Mbps ma IPTV xin ra', 'Krishnamohan Chaudhary please check your inbox', 'New connection total charge details', 'Vijay Sah please check your inbox', 'IPTV????', 'Sunil Ghimire please check your inbox', '50 Mbps ma IPTV xin ra', 'Krishnamohan Chaudhary please check your inbox']"
"Saturday, March 11, 2023 at 8:36 AM",Nan
"Wednesday, March 8, 2023 at 6:33 AM",Nan
"Monday, March 6, 2023 at 7:00 AM",Nan
"Friday, February 24, 2023 at 3:16 PM","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '50 Mbps ma IPTV xin ra', 'Krishnamohan Chaudhary please check your inbox', 'New connection total charge details', 'Vijay Sah please check your inbox', '75 mbps price', 'Santosh Shrestha please check your inbox', 'New connection charge', 'Rajesh Singh please check your inbox', 'Itv jodeko 100 mbps 1year ko price plz sir', 'Amit Ghale Grg please check your inbox', '10 Mbps price', 'आभाष अधिकारी please check your inbox', '', 'Smiley Debaki please check your inbox', 'New connection total charge details', 'Vijay Sah please check your inbox', '250 mbps', 'TR Av please check your inbox', 'Purano connection ma upgrade garna mildaina ?', 'నౌషాద్ హక్ please check your inbox', '75 mbps ma tv include xa ki xiana', 'Roshan Siwakoti please check your inbox', 'k yo gulmi chandrakot gaunpalikama xa t', 'Kanxa Lovely Bipin please check your inbox', 'Richarj gar n x', 'Sarbin Razak please check your inbox', 'Raju Chapagain please check your inbox', '200 MbpsNet+tv price??', 'Manish Dahal please check your inbox', '300 mbps ko kati ho', 'Lekh Raj K C please check your inbox']"
"Friday, February 24, 2023 at 7:00 AM",Nan
